Nested Sampling Global Log-Evidence           :   -0.517332345987287454E+03  +/-    0.259349459886981881E+00
Nested Importance Sampling Global Log-Evidence:   -0.519271452510047197E+03  +/-    0.803674279785592582E+00

Dim No.       Mean        Sigma
   1    0.763753071091631170E+02    0.139002004378849708E+02
   2    0.448612187899010750E+00    0.808787684399203677E+00
   3   -0.974548378163519885E-01    0.553457014068305497E+01
   4   -0.173386637960517176E+00    0.411594661890672731E+00
   5    0.494738216892134874E+00    0.278074609988297805E+00
   6    0.207163317372838707E+01    0.113901048640638725E+01
   7    0.254637720850496019E+00    0.135764017942118981E+00
   8    0.169544818150343495E-01    0.542480041117229111E-02
   9   -0.123873286209409808E-04    0.617446117435136842E-02
  10   -0.406332876681709185E-01    0.594858193076253761E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.838761412835437454E+02
   2    0.817398674039413464E-01
   3    0.326266668710760221E+01
   4   -0.405044759624878736E+00
   5    0.342693901113453381E+00
   6    0.286336606687292383E+00
   7    0.749962097137189115E-01
   8    0.148723111439683642E-01
   9   -0.195543120038221829E-03
  10   -0.863203873125354404E-01

MAP Parameters
Dim No.        Parameter
   1    0.838761412835437454E+02
   2    0.817398674039413464E-01
   3    0.326266668710760221E+01
   4   -0.405044759624878736E+00
   5    0.342693901113453381E+00
   6    0.286336606687292383E+00
   7    0.749962097137189115E-01
   8    0.148723111439683642E-01
   9   -0.195543120038221829E-03
  10   -0.863203873125354404E-01
